"Consumo mensual promedio estimado (Kwh/mes) por categoria tarifaria*","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Clientes EDET SA.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Promedio kWh-mes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Tarifa/ año-mes","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09","2019-10","2019-11","2019-12","2020-01","2020-02","2020-03","2020-04","2020-05","2020-06","2020-07","2020-08","2020-09","2020-10","2020-11","2020-12","2021-01","2021-02","2021-03","2021-04","2021-05","2021-06","2021-07","2021-08","2021-09","2021-10","2021-11","2021-12","2022-01","2022-02","2022-03","2022-04","2022-05","2022-06","2022-07","2022-08","2022-09","2022-10","2022-11","2022-12","2023-01","2023-02","2023-03","2023-04","2023-05","2023-06"
"T1R","367.8","366.3","337.4","290.9","267.9","297.5","317.8","279.5","257.6","257.8","265.4","300.9","385.2","355.8","357.8","302.3","243.1","271.2","271.9","247.7","227.6","250.8","274.4","322.3","347.9","341.6","274.7","265.1","246.9","269.0","279.2","265.7","228.6","250.9","261.1","265.3","300.2","318.0","288.2","245.9","189.7","214.0","229.5","231.4","198.9","221.9","254.7","281.2","349.0","336.1","312.9","269.6","213.6","219.2","246.0","232.9","215.2","239.5","245.2","305.1","322.5","294.0","273.2","232.0","207.3","222.9","247.0","240.8","203.4","215.8","244.8","286.4","384.6","318.9","279.2","224.4","199.2","252.0","262.7","236.7","209.1","201.1","236.4","335.1","346.3","367.6","376.1","306.9","235.7","220.7"
"T1G","663.3","651.8","654.1","588.0","547.4","524.9","533.8","511.3","513.4","541.8","553.3","588.0","645.4","635.2","694.1","614.8","526.5","521.8","537.0","512.3","482.7","541.1","570.1","614.6","652.1","635.4","573.9","561.6","537.5","538.2","490.3","507.6","475.4","527.0","544.3","546.8","582.1","588.4","579.4","546.4","459.3","462.7","436.5","500.3","454.7","491.3","533.6","566.0","655.7","631.1","603.8","515.7","407.5","431.7","415.4","442.2","429.4","480.2","472.6","566.6","593.9","572.5","556.1","531.7","476.4","466.3","456.3","478.3","459.5","509.9","533.4","598.9","661.6","620.8","612.1","546.1","500.2","530.3","499.2","513.4","490.9","514.5","523.7","659.3","665.1","693.9","685.7","659.8","554.4","526.1"
"T1RC","487.4","349.8","471.7","359.0","478.4","346.3","510.3","348.8","497.7","354.1","472.9","333.7","436.2","317.9","497.2","348.4","449.5","328.6","499.0","320.7","421.8","321.0","458.1","298.1","433.0","310.5","376.2","287.6","416.7","311.2","455.7","291.7","414.6","296.0","444.7","290.5","392.7","273.5","401.3","288.5","411.5","281.9","425.7","319.2","422.6","284.7","394.1","299.4","427.4","303.4","422.1","298.1","373.1","272.2","399.8","286.2","395.3","285.0","399.6","280.9","430.5","287.2","389.5","290.1","414.9","272.6","418.1","292.5","390.5","288.0","425.0","281.5","470.9","275.2","399.9","292.9","421.1","314.3","436.4","288.0","416.1","291.6","405.4","291.4","398.6","284.7","380.5","289.1","399.0","274.8"
"T2","4,942.4","4,805.7","4,835.5","4,111.2","4,126.5","4,346.9","4,074.7","4,263.0","4,373.9","4,276.4","4,621.3","4,954.0","5,226.7","4,481.1","4,980.8","3,919.1","4,093.2","4,345.3","4,077.2","4,423.9","4,236.2","4,550.3","5,130.2","4,929.3","4,699.7","4,607.4","4,447.3","4,474.9","4,204.8","4,354.7","4,099.4","4,335.9","4,179.9","4,399.5","4,640.1","4,359.1","4,631.4","4,354.4","4,084.8","4,046.2","3,804.7","3,746.3","3,932.6","4,200.8","3,817.5","4,593.0","4,689.0","4,593.2","4,998.8","4,327.0","4,421.2","3,473.7","3,096.9","3,813.1","3,896.2","3,646.5","3,791.7","4,236.1","4,098.0","4,797.3","4,311.0","3,828.0","4,484.9","3,931.7","3,507.2","3,947.0","3,985.7","4,077.8","4,064.1","4,437.4","4,467.8","4,767.3","4,981.2","4,143.7","4,422.9","3,894.6","4,006.7","4,162.7","4,052.4","4,076.3","3,931.3","4,252.4","4,952.8","5,004.8","5,022.3","4,496.1","5,567.8","3,949.3","3,948.6","4,007.3"
"T3","1,478.7","1,412.7","1,655.1","1,696.3","1,830.4","1,921.2","1,890.4","1,823.0","1,713.1","1,703.0","1,565.3","1,593.0","1,475.9","1,420.6","1,683.6","1,881.6","1,874.4","1,945.1","2,180.7","2,006.4","1,774.8","1,815.7","1,710.2","1,410.4","1,575.7","1,597.5","1,623.9","1,820.6","1,943.2","2,125.5","1,855.7","1,952.7","1,849.2","1,785.9","1,529.5","1,386.7","1,690.3","1,568.5","1,723.3","1,955.8","1,822.7","1,866.6","1,685.7","1,972.2","1,686.3","1,607.4","1,589.7","1,287.4","1,667.2","1,488.4","1,628.1","1,683.1","1,682.0","2,030.4","1,752.7","1,653.2","1,702.0","1,613.2","1,310.4","1,552.5","1,361.8","1,440.1","1,636.9","1,725.0","1,533.7","1,829.9","1,703.2","1,608.8","1,616.0","1,479.5","1,429.2","1,325.8","1,380.0","1,214.5","1,693.2","1,498.5","1,766.6","1,657.1","1,565.7","1,563.8","1,497.2","1,416.4","1,314.1","1,279.9","1,216.5","1,393.1","1,373.0","1,567.5","1,449.1","1,820.2"
"T4B","22,573.1","22,275.9","20,657.8","18,849.7","18,341.3","19,285.0","19,244.9","19,224.5","20,135.6","20,736.6","21,655.7","23,575.6","24,104.9","20,811.7","21,397.8","18,055.5","18,308.8","18,489.9","18,696.1","18,926.7","18,835.5","21,835.1","23,160.4","23,097.5","21,422.4","19,095.9","20,078.5","19,340.7","17,814.6","17,932.5","18,544.6","18,193.7","19,057.9","19,469.8","20,087.8","19,739.2","19,804.9","18,552.0","16,930.6","16,322.0","16,601.8","15,702.3","17,203.8","17,245.4","17,073.4","20,349.0","20,762.2","20,231.9","20,631.8","17,871.7","18,044.2","13,415.9","14,316.9","15,397.6","17,012.6","16,001.2","16,472.7","18,909.7","18,932.9","19,499.1","18,277.2","15,914.5","17,447.1","15,379.6","14,714.2","16,146.3","17,063.5","17,279.7","17,288.1","20,318.7","18,736.4","20,506.3","20,398.4","17,325.8","17,026.5","15,596.1","16,507.5","17,615.3","17,679.6","17,669.5","17,136.5","18,484.9","21,431.5","20,780.4","21,024.0","18,338.6","22,627.8","15,576.0","16,117.6","16,440.6"
"T4M","121,976.1","122,742.0","121,089.8","121,555.5","128,707.9","133,907.1","129,546.2","128,592.2","123,054.1","120,398.8","127,740.6","124,965.6","122,441.5","115,084.1","122,669.5","113,523.7","133,298.7","133,109.6","129,081.9","124,390.6","118,236.1","126,596.4","134,437.0","130,588.1","117,709.7","114,836.2","125,017.7","126,739.5","128,622.1","129,569.0","135,942.2","131,447.7","123,928.3","130,551.8","132,802.7","120,459.3","114,313.2","116,602.1","111,950.0","110,831.3","127,688.9","123,655.0","136,271.3","126,660.8","119,376.1","129,553.6","127,791.4","121,276.5","120,001.9","103,138.8","107,151.3","98,751.3","117,016.4","115,733.0","123,700.4","113,697.0","110,488.5","118,778.5","119,658.6","116,689.4","109,209.7","101,992.7","110,158.8","110,727.7","118,913.9","127,275.7","136,099.5","132,529.3","123,959.5","131,394.5","127,064.2","126,217.2","123,827.0","112,879.5","119,090.0","118,012.2","133,978.5","134,884.8","134,880.5","131,188.1","113,926.6","124,891.7","132,451.9","125,294.6","125,450.4","113,159.3","137,535.1","110,094.4","128,440.0","131,053.1"
"T5","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","10,739.0","9,141.0","9,127.0","9,285.0","9,237.0","9,895.0","7,991.0","5,376.5","4,752.5","4,721.0","5,918.5","5,420.5","5,365.0","4,976.5","5,418.0","5,160.0","5,280.0","6,274.0","4,876.5","5,410.0","4,495.5","9,849.0","11,508.0","11,061.0","10,328.0","9,559.0","8,701.0","10,213.0","10,261.0","11,821.0","10,103.3","12,527.0","7,494.3","7,307.7","7,611.7"
"T6B","34,974.3","33,464.0","32,043.7","27,187.3","25,907.3","24,364.0","24,840.0","25,427.7","26,730.3","30,410.7","31,289.3","34,454.7","36,497.3","30,674.7","32,296.0","26,024.0","24,991.0","22,890.7","22,895.7","24,518.7","24,117.3","26,468.7","30,714.7","33,118.3","33,018.0","26,957.0","28,139.0","25,318.7","22,385.7","20,107.3","21,614.7","19,869.7","21,487.0","23,287.3","24,796.3","27,163.0","28,582.3","25,035.7","23,830.7","22,264.3","21,274.3","19,473.7","20,495.7","19,284.3","18,920.3","22,744.7","21,568.5","24,305.0","25,836.5","21,609.3","22,905.5","17,910.5","15,983.8","14,964.3","16,336.0","18,032.3","18,054.3","21,277.0","22,364.7","25,559.7","25,133.0","21,832.3","33,343.5","30,621.0","25,411.5","25,255.5","25,401.0","25,207.5","24,168.0","27,355.5","28,260.0","33,609.0","36,141.0","29,448.0","28,999.5","25,888.5","24,532.5","24,730.5","24,151.5","23,151.0","21,939.0","26,256.0","30,927.0","34,971.0","36,591.0","32,754.0","39,111.0","26,490.0","26,506.5","25,068.0"
"T6M","375,764.9","451,739.2","487,466.1","486,073.9","492,497.5","537,198.4","622,376.6","558,226.9","496,633.5","436,904.4","433,000.1","340,066.6","392,947.6","402,313.1","465,857.0","466,887.3","525,059.5","586,015.9","646,711.1","615,988.7","488,433.3","466,054.3","462,206.7","394,880.6","338,217.7","374,510.6","488,334.9","536,125.7","583,178.9","603,315.2","613,138.5","601,431.9","516,826.3","439,703.3","413,930.5","337,182.8","333,647.9","373,238.2","412,182.2","475,655.2","543,432.1","573,268.2","598,106.6","591,461.8","484,779.8","480,105.9","458,679.5","411,375.6","362,465.8","434,235.4","436,344.4","357,572.3","481,389.3","627,581.3","644,310.2","601,700.6","530,246.8","530,060.9","478,585.3","416,810.2","363,996.4","424,429.3","489,852.6","537,506.6","640,919.8","668,370.6","734,173.8","724,494.2","670,161.2","568,796.1","510,440.6","455,708.5","380,549.6","450,884.7","497,660.2","589,053.2","686,902.4","691,407.4","749,465.1","717,119.3","577,148.6","511,253.2","498,134.5","434,361.4","390,307.8","463,383.4","542,699.7","524,101.3","651,172.2","637,092.1"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"*Promedio de consumo mensual sin contar consumos nulos.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Nota: no incluye categorías CS, CP y DIST.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Fuente: elaboración ERSEPT en base a EDET SA.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
